,listing_id,address,property_type,property_link,price_per_month,featured_property,dates_available,furnishing,description,longitude,latitude,initial_scrape_date,most_recent_scrape_date,Bermondsey,Borough,Elephant & Castle,London Bridge,Queens Road (Peckham),Rotherhithe,South Bermondsey,Surrey Quays,Wapping
37,46376996,"Alscot Road, London SE1",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/46376996,"£1,750 pcm",,30th Nov 2018,Furnished,"City Docklands present to market this two bedroom apartment located on Alscot Road, SE1 with beautiful views overlooking Bermondsey Spa Gardens.",-0.07383,51.494079,19/12/2018,19/12/2018,0.5 miles,,,0.9 miles,,,,,
38,49830995,"Sherwood Gardens, London SE16",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49830995,"£1,400 pcm",,29th Dec 2018,Furnished,"Presented to the market is this spacious two bedroom apartment, located in a private Development offering an abundance of natural light. Comprising a large lounge with Juliette balcony, a fully fitted kitchen, two good sized double bedrooms and a three piece family bathroom. The property is neutrally decorated throughout and offers excellent transport links including South Bermondsey Station.",-0.064429,51.486793,19/12/2018,19/12/2018,0.8 miles,,,,,,0.4 miles,,
39,49827059,"Goodwin Close, London SE16",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49827059,"£1,550 pcm",,1st Jan 2019,Unfurnished,"A nicely presented second floor two bedroomed purpose built flat situated within walking distance of Bermondsey Tube station. The property has a spacious lounge/diner, modern fitted kitchen and refitted shower room. The property is offered to let on an unfurnished basis and there is off street parking available.You enter the block through the communal hall which has stairs leading to second floor and the private entrance to the block. Inside the entrance hall gives access to the lounge/diner and, off it, to the kitchen which has a good range of modern fully fitted wall and base units with an integrated oven and hob, washing machine, dishwasher, microwave and fridge freezer.The main bedroom is carpeted and has an ensuite dressing room with a mirror fronted wardobe and a compact sink and vanity unit. The small bedroom is also carpeted and has a fitted wardrobe. There is a separate shower room with a fully enclosed shower cubicle, hand basin and low level WC.The flat is available long term from 1 January 2019Full DescriptionACCOMMODATIONCommunal Entrance: Hall and stairs leading to second floor andPrivate Entrance: Hardwood front doorEntrance Hall: L-shaped, entryphone handsetLounge/diner: 18’3 x 10’6 fitted spotlightsKitchen: 7’6 x 6’2 range of modern fully fitted wall and base units, stainless steel sink and drainer with mixer tap, extractor hood, integrated oven, integrated hob, washing machine, dishwasher, microwave, fridge freezer, part tiled wallsBedroom 1: 11’6 x 8’5 carpeted, open toEnsuite Dressing Room: Fitted wardrobe with mirror fronted sliding doors, inset compact sink and vanity unitBedroom 2: 9’3 x 5’9 carpeted,single bed, fitted wardrobe with glass folding door, chest of drawersShower room: 8’4 x 6’9 modern suite comprising fully enclosed shower cubicle, hand basin inset to vanity unit, low level WC suite, part tiled wallsOUTSIDECommunal groundsOff street parking",-0.07105,51.495077,19/12/2018,19/12/2018,0.4 miles,,,,,,0.8 miles,,
40,49823019,"Oxley Close, London SE1",1 bed terraced house to rent,https://www.zoopla.co.uk/to-rent/details/49823019,"£1,250 pcm",,6th Jan 2019,Part furnished,"RE/MAX Vision are pleased to present this modern house to rent close to central London.Property comprises a open plan kitchen, open plan living room, double bedroom, 3 piece bathroom, private rear garden and parking.This property is conveniently located just a short walk from the main road where there are numerous 24 hour bus links into the West End. Nearest station is London Bridge & Elephant & Castle.Local amenities including Tesco, asda, Post Office, 24 hour gym, 24 hour off licences and numerous pan asian restaurants.Property will be available to move in from 6th January 2019.Updated photos will be uploaded 1st JanuaryPlease get in touch for more details.",-0.071673,51.489188,19/12/2018,19/12/2018,0.7 miles,,,,,,0.7 miles,,
41,45272911,"Elephant Lane, London SE16",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/45272911,"£1,365 pcm",,14th Jan 2019,Furnished,"Key features:1 BedroomFurnishedRiver ViewOver 550 sqftFull description:This large 1 Bedroom is situated in the quite part of Rotherhithe offering, very large reception room, one bathroom, Fully equipped kitchen, available fully furnished, Close to Bermondsey Jubilee Line - 5mis to London Bridge Station. Water & Electric Bills Included.This large 1 Bedroom is situated in the quite part of Rotherhithe offering, very large reception room, one bathroom, Fully equipped kitchen, available fully furnished, Close to Bermondsey Jubilee Line - 5mis to London Bridge Station. Water & Electric Bills Included.Tenancy Administration Fee £275.00Additional Tenant - £45 per personReferencing Fees (applicant or guarantor) £95.00Deposit Registration Fee £30.00Inventory/Check In Fee - Studio Apartment - £230.00All above Include VAT",-0.055832,51.500608,19/12/2018,19/12/2018,,,,,,0.2 miles,,,
42,49795020,"Grange Road, London SE1",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49795020,"£1,600 pcm",,27th Nov 2018,Unfurnished,"*rent fee free with L&Q*Twist House is a stunning new development a short walk from the ever popular Bermondsey Street with its array of bars, boutiques, galleries and restaurants. This is a one bedroom, 1st floor, newly built apartment available to rent in central SE1 location.The property boasts one double bedroom with fitted wardrobe, spacious open plan living with fully integrated kitchen, modern fitted bathroom with heated towel rail and own private balcony.This property is offered unfurnished and available immediately.Contact us to arrange your appointment today on .Please note: Images shown are of the show home - specification will be the same but layouts may differ",-0.07932,51.495743,19/12/2018,19/12/2018,0.7 miles,,,0.7 miles,,,,,
43,49789727,"Cherry Garden Street, London SE16",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49789727,"£1,350 pcm",,22nd Jan 2019,Furnished,"A one-bedroom apartment situated on the first floor. This generously proportioned flat is presented in good condition throughout and comprises of a spacious lounge, double bedroom, fitted kitchen and a bathroom. The property further benefits from double glazing, gas central heating and allocated parking space. Cherry Garden Street is located a short walk from the River Thames and provides fantastic transport links.Agency Fees ApplyAdministration fee £200 per propertyReference fee £60 per personCheck out fee £100",-0.061102,51.499328,19/12/2018,19/12/2018,0.1 miles,,,,,0.3 miles,,,
44,45584407,"294 St James Road, London SE1",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/45584407,"£1,560 pcm",,28th Jan 2019,Unfurnished,"This very large 1 bedroom warehouse conversation is available from Mid January. Finished to the highest of standards with exposed brick work, communal gardens and plenty of natural light. A stones through away from Bermondsey Station with direct links into the city. Contact Cubix today!Open 7 days a week and happy to accommodate.",-0.066102,51.48638,19/12/2018,19/12/2018,0.8 miles,,,,,,0.5 miles,,
45,49738607,"Bridgeview Court, 19 Grange Road, London SE1",1 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49738607,"£1,322 pcm",,20th Nov 2018,Furnished,"A well maintained one bedroom, one bathroom apartment in Bridgeview Court, boasting a fantastic City location close to London Bridge and the City.Situated on the fifth floor, the property comprises a spacious lounge with a Juliette balcony, a separate kitchen with integrated appliances and a double sized bedroom. The flat is offered furnished as shown in the pictures.Bridgeview Court is a secure, gated development with 24 hour surveillance for added safety for its residents. It is available to view immediately and ready to move in to.",-0.080443,51.496121,19/12/2018,19/12/2018,,0.7 miles,,0.7 miles,,,,,
46,49726383,"Grange Road, London SE1",2 bed flat to rent,https://www.zoopla.co.uk/to-rent/details/49726383,"£1,499 pcm",,,Furnished,Atkinson Mcleod is pleased to bring to the market this stunning split level apartment on Grange Road in Bermondsey. The apartment has just had a re-paint and is available immediately. The apartment offers two good size double bedrooms a very nice bathroom and huge open plan living room. Call our Lettings team today to book in your viewing.Our Ref: Rpl/iupload/CTL180981,-0.076079,51.494377,19/12/2018,19/12/2018,0.6 miles,,,0.8 miles,,,,,
