,listing_id,address,no_rooms,price,property_types,property_link,reduced/added,date_reduced/added,no_pictures,latitude,longitude,agent_name,agent_number,most_recent_scrape_date,initial_scrape_date
67,73406528,"Empire Square, Borough",1,"£450,000", flat,https://www.rightmove.co.uk//property-for-sale/property-73406528.html,Reduced ,2019-01-28 00:00:00,10,51.50014,-0.09004,"Kinleigh Folkard & Hayward - Sales, London Bridge",020 8012 2031,22/02/2019,21/02/2019
68,68177275,"Empire Square South, London Bridge",1,"£450,000", flat,https://www.rightmove.co.uk//property-for-sale/property-68177275.html,Reduced ,2019-01-28 00:00:00,5,51.500882,-0.090992,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
69,68983732,"St. Andrews House, Bermondsey SE16",3,"£500,000", flat,https://www.rightmove.co.uk//property-for-sale/property-68983732.html,Reduced ,2019-01-25 00:00:00,7,51.494135,-0.057725,"Alex Neil Estate Agents, South East London - Sales",020 8012 0319,22/02/2019,21/02/2019
70,78876776,"Haven Way, Grange Walk, SE1",1,"£465,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-78876776.html,Added ,2019-01-25 00:00:00,10,51.496813,-0.07617,"Williams Lynch, London",020 8012 2590,22/02/2019,21/02/2019
71,67174816,"Westfield House, Surrey Quays, London, SE16",2,"£325,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-67174816.html,Reduced ,2019-01-24 00:00:00,13,51.49185,-0.04588,"JD Property, London",020 8012 9084,22/02/2019,21/02/2019
72,69620521,"Marden Square, Bermondsey SE16",4,"£475,000", maisonett,https://www.rightmove.co.uk//property-for-sale/property-69620521.html,Added ,2019-01-22 00:00:00,9,51.494713,-0.060981,"Alex Neil Estate Agents, South East London - Sales",020 8012 0319,22/02/2019,21/02/2019
73,78763526,"Westlake, Rotherhithe New Road, London, SE16",1,"£265,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-78763526.html,Added ,2019-01-21 00:00:00,8,51.490937,-0.050477,"Winkworth, Surrey Quays",020 8012 3573,22/02/2019,21/02/2019
74,59654418,"Tabard Street, Borough",1,"£400,000", flat,https://www.rightmove.co.uk//property-for-sale/property-59654418.html,Added ,2019-01-21 00:00:00,9,51.49633,-0.08804,"Kinleigh Folkard & Hayward - Sales, London Bridge",020 8012 2031,22/02/2019,21/02/2019
75,72561764,Maltby Street London Bridge SE1,2,"£410,000", flat,https://www.rightmove.co.uk//property-for-sale/property-72561764.html,Reduced ,2019-01-19 00:00:00,8,51.49838,-0.07628,"Acorn, London Bridge",020 8012 2625,22/02/2019,21/02/2019
76,58551414,"254-258 Lower Road, London, SE8",1,"£325,000", flat,https://www.rightmove.co.uk//property-for-sale/property-58551414.html,Reduced ,2019-01-18 00:00:00,15,51.490824,-0.043658,"Purplebricks, covering London",0121 396 0233,22/02/2019,21/02/2019
77,57711087,"Neckinger Estate, London, SE16",2,"£400,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-57711087.html,Reduced ,2019-01-18 00:00:00,8,51.497298,-0.073561,"Purplebricks, covering London",0121 396 0233,22/02/2019,21/02/2019
